t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1500625615,0,0.000000,0.000000,0.000000,0.000000,events/second
1500625625,0,0.000000,0.000000,0.000000,0.000000,events/second
1500625635,0,0.000000,0.000000,0.000000,0.000000,events/second
1500625645,0,0.000000,0.000000,0.000000,0.000000,events/second
1500625655,0,0.000000,0.000000,0.000000,0.000000,events/second
1500625664,0,0.000000,0.000000,0.000000,0.000000,events/second
1500625674,0,0.000000,0.000000,0.000000,0.000000,events/second
1500625684,0,0.000000,0.000000,0.000000,0.000000,events/second
1500625694,0,0.000000,0.000000,0.000000,0.000000,events/second
1500625704,0,0.000000,0.000000,0.000000,0.000000,events/second
1500625714,0,0.000000,0.000000,0.000000,0.000000,events/second
1500625724,0,0.000000,0.000000,0.000000,0.000000,events/second
1500625734,0,0.000000,0.000000,0.000000,0.000000,events/second
1500625744,0,0.000000,0.000000,0.000000,0.000000,events/second
1500625754,0,0.000000,0.000000,0.000000,0.000000,events/second
1500625763,0,0.000000,0.000000,0.000000,0.000000,events/second
1500625773,0,0.000000,0.000000,0.000000,0.000000,events/second
1500625783,0,0.000000,0.000000,0.000000,0.000000,events/second
1500625793,0,0.000000,0.000000,0.000000,0.000000,events/second
1500625803,0,0.000000,0.000000,0.000000,0.000000,events/second
1500625813,0,0.000000,0.000000,0.000000,0.000000,events/second
1500625823,0,0.000000,0.000000,0.000000,0.000000,events/second
1500625833,0,0.000000,0.000000,0.000000,0.000000,events/second
1500625843,0,0.000000,0.000000,0.000000,0.000000,events/second
1500625852,0,0.000000,0.000000,0.000000,0.000000,events/second
1500625862,0,0.000000,0.000000,0.000000,0.000000,events/second
1500625872,0,0.000000,0.000000,0.000000,0.000000,events/second
1500625882,0,0.000000,0.000000,0.000000,0.000000,events/second
1500625892,0,0.000000,0.000000,0.000000,0.000000,events/second
1500625902,0,0.000000,0.000000,0.000000,0.000000,events/second
1500625912,0,0.000000,0.000000,0.000000,0.000000,events/second
1500625922,0,0.000000,0.000000,0.000000,0.000000,events/second
1500625932,0,0.000000,0.000000,0.000000,0.000000,events/second
1500625941,0,0.000000,0.000000,0.000000,0.000000,events/second
1500625951,0,0.000000,0.000000,0.000000,0.000000,events/second
1500625961,0,0.000000,0.000000,0.000000,0.000000,events/second
1500625971,0,0.000000,0.000000,0.000000,0.000000,events/second
1500625981,0,0.000000,0.000000,0.000000,0.000000,events/second
1500625991,0,0.000000,0.000000,0.000000,0.000000,events/second
1500626001,0,0.000000,0.000000,0.000000,0.000000,events/second
1500626011,0,0.000000,0.000000,0.000000,0.000000,events/second
1500626021,0,0.000000,0.000000,0.000000,0.000000,events/second
1500626031,0,0.000000,0.000000,0.000000,0.000000,events/second
1500626040,0,0.000000,0.000000,0.000000,0.000000,events/second
1500626050,0,0.000000,0.000000,0.000000,0.000000,events/second
1500626060,0,0.000000,0.000000,0.000000,0.000000,events/second
1500626070,0,0.000000,0.000000,0.000000,0.000000,events/second
1500626080,0,0.000000,0.000000,0.000000,0.000000,events/second
1500626090,0,0.000000,0.000000,0.000000,0.000000,events/second
1500626100,0,0.000000,0.000000,0.000000,0.000000,events/second
1500626110,0,0.000000,0.000000,0.000000,0.000000,events/second
1500626120,0,0.000000,0.000000,0.000000,0.000000,events/second
1500626129,0,0.000000,0.000000,0.000000,0.000000,events/second
1500626139,0,0.000000,0.000000,0.000000,0.000000,events/second
1500626149,0,0.000000,0.000000,0.000000,0.000000,events/second
1500626159,0,0.000000,0.000000,0.000000,0.000000,events/second
1500626169,0,0.000000,0.000000,0.000000,0.000000,events/second
1500626179,0,0.000000,0.000000,0.000000,0.000000,events/second
